ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
4758,faeces-38,,,data,675,FAECES (EXCREMENT)
4759,faeces-39,,,data,675,FAECES (EXCREMENT)
4760,faeces-40,,,data,675,FAECES (EXCREMENT)
4761,faeces-41,,,data,675,FAECES (EXCREMENT)
4762,faeces-42,,,data,675,FAECES (EXCREMENT)
4763,faeces-43,,,data,675,FAECES (EXCREMENT)
4764,faeces-44,,,data,675,FAECES (EXCREMENT)
4765,faeces-45,,,data,675,FAECES (EXCREMENT)
4766,faeces-46,,,data,675,FAECES (EXCREMENT)
4767,faeces-47,,,data,675,FAECES (EXCREMENT)
4768,faeces-48,,,data,675,FAECES (EXCREMENT)
4769,faeces-49,,,data,675,FAECES (EXCREMENT)
4770,faeces-50,,,data,675,FAECES (EXCREMENT)
4771,fall-ascertained,,,data,,
4772,fall-2,,,data,1280,FALL
4773,fall-3,,,data,1280,FALL
4774,fall-4,,,data,1280,FALL
4775,fall-5,,,data,1280,FALL
4776,fall-6,,,data,1280,FALL
4777,fall-7,,,data,1280,FALL
4778,fall-8,,,data,1280,FALL
4779,fall-9,,,data,1280,FALL
4780,fall-10,,,data,1280,FALL
4781,fall-11,,,data,1280,FALL
4782,fall-12,,,data,1280,FALL
4783,fall-13,,,data,1280,FALL
4784,fall-14,,,data,1280,FALL
4785,fall-15,,,data,1280,FALL
4786,fall-16,,,data,1280,FALL
4787,fall-17,,,data,1280,FALL
4788,fall-18,,,data,1280,FALL
4789,fall-19,,,data,1280,FALL
4790,fall-20,,,data,1280,FALL
4791,fall-21,,,data,1280,FALL
4792,fall-22,,,data,1280,FALL
4793,fall-23,,,data,1280,FALL
4794,fall-24,,,data,1280,FALL
4795,fall-25,,,data,1280,FALL
4796,fall-26,,,data,1280,FALL
4797,fall-27,,,data,1280,FALL
4798,fall-28,,,data,1280,FALL
4799,fall-29,,,data,1280,FALL
4800,fall-30,,,data,1280,FALL
4801,fall-31,,,data,1280,FALL
4802,fall-32,,,data,1280,FALL
4803,fall-33,,,data,1280,FALL
4804,fall-34,,,data,1280,FALL
4805,fall-35,,,data,1280,FALL
4806,fall-36,,,data,1280,FALL
4807,fall-37,,,data,1280,FALL
4808,fall-38,,,data,1280,FALL
4809,fall-39,,,data,1280,FALL
4810,fall-40,,,data,1280,FALL
4811,fall-41,,,data,1280,FALL
4812,fall-42,,,data,1280,FALL
4813,fall-43,,,data,1280,FALL
4814,fall-44,,,data,1280,FALL
4815,fall-45,,,data,1280,FALL
4816,fall-46,,,data,1280,FALL
4817,fall-47,,,data,1280,FALL
4818,fall-48,,,data,1280,FALL
4819,fall-49,,,data,1280,FALL
4820,fall-50,,,data,1280,FALL
4821,fall-51,,,data,1280,FALL
4822,fall-52,,,data,1280,FALL
4823,fall-53,,,data,1280,FALL
4824,fall-54,,,data,1280,FALL
4825,fall-55,,,data,1280,FALL
4826,fall-56,,,data,1280,FALL
4827,fall-57,,,data,1280,FALL
4828,fall-58,,,data,1280,FALL
4829,fall-59,,,data,1280,FALL
4830,fall-60,,,data,1280,FALL
4831,fall-61,,,data,1280,FALL
4832,fall-62,,,data,1280,FALL
4833,fall-63,,,data,1280,FALL
4834,fall-64,,,data,1280,FALL
4835,fall-65,,,data,1280,FALL
4836,fall-66,,,data,1280,FALL
4837,fall-67,,,data,1280,FALL
4838,fall-68,,,data,1280,FALL
4839,fall-69,,,data,1280,FALL
4840,fall-70,,,data,1280,FALL
4841,fall-71,,,data,1280,FALL
4842,fall-72,,,data,1280,FALL
4843,fall-73,,,data,1280,FALL
4844,fall-74,,,data,1280,FALL
4845,fall-75,,,data,1280,FALL
4846,fall-76,,,data,1280,FALL
4847,fall-77,,,data,1280,FALL
4848,fall-78,,,data,1280,FALL
4849,fall-79,,,data,1280,FALL
4850,fall-80,,,data,1280,FALL
4851,fall-81,,,data,1280,FALL
4852,fall-82,,,data,1280,FALL
4853,fall-83,,,data,1280,FALL
4854,fall-84,,,data,1280,FALL
4855,fall-85,,,data,1280,FALL
4856,fall-86,,,data,1280,FALL
4857,fall-87,,,data,1280,FALL
4858,fall-88,,,data,1280,FALL
4859,fall-89,,,data,1280,FALL
4860,fall-90,,,data,1280,FALL
4861,fall-91,,,data,1280,FALL
4862,fall-92,,,data,1280,FALL
4863,fall-93,,,data,1280,FALL
4864,fall-94,,,data,1280,FALL
4865,fall-95,,,data,1280,FALL
4866,fall-96,,,data,1280,FALL
4867,fall-97,,,data,1280,FALL
4868,fall-98,,,data,1280,FALL
4869,far-ascertained,,,data,,
4870,far-2,,,data,1406,FAR
4871,far-3,,,data,1406,FAR
4872,far-4,,,data,1406,FAR
4873,far-5,,,data,1406,FAR
4874,far-6,,,data,1406,FAR
4875,far-7,,,data,1406,FAR
4876,far-8,,,data,1406,FAR
4877,far-9,,,data,1406,FAR
4878,far-10,,,data,1406,FAR
4879,far-11,,,data,1406,FAR
4880,far-12,,,data,1406,FAR
4881,far-13,,,data,1406,FAR
4882,far-14,,,data,1406,FAR
4883,far-15,,,data,1406,FAR
